order_id,customer_id,order_date,region,product_category,price,quantity,coupon_code,revenue,paid
172,212,6/1/2024,West,Home,60.03,1,WELCOME10,60.03,TRUE
173,25,10/26/2024,West,Clothing,199.4,1,,199.4,TRUE
174,114,6/28/2024,West,Electronics,28.95,3,,86.85,TRUE
175,277,9/23/2024,West,Books,100.78,3,,302.34000000000003,TRUE
176,45,4/4/2024,North,Clothing,96.83,4,,387.32,TRUE
177,272,2/19/2024,South,Books,226.87,3,,680.61,TRUE
178,159,10/1/2024,West,Clothing,45.09,4,,180.36,TRUE
179,276,5/4/2024,South,Electronics,30.46,2,WELCOME10,60.92,TRUE
180,252,5/18/2024,West,Clothing,28.27,2,,56.54,TRUE
181,155,3/2/2024,North,Books,37.63,3,,112.89,FALSE
182,236,5/15/2024,South,Electronics,134.75,2,,269.5,TRUE
183,87,7/26/2024,South,Electronics,84.2,2,,168.4,TRUE
184,228,5/8/2024,East,Electronics,45.68,3,SPRING20,137.04,TRUE
185,54,9/16/2024,West,Home,22.96,2,,45.92,TRUE
186,244,2/21/2024,North,Books,89.55,3,,268.65,TRUE
187,291,7/14/2024,South,Home,9.71,2,,19.42,TRUE
188,101,3/22/2024,South,Clothing,68.37,2,,136.74,TRUE
189,229,11/11/2024,West,Home,37.04,1,,37.04,TRUE
190,289,11/18/2024,North,Clothing,78.46,4,WELCOME10,313.84,TRUE
191,281,11/13/2024,West,Home,84.18,1,SPRING20,84.18,TRUE
192,212,1/20/2024,South,Home,185.52,2,,371.04,TRUE
193,230,6/21/2024,East,Books,187.72,1,WELCOME10,187.72,TRUE
194,95,12/9/2024,North,Books,85.04,2,,170.08,TRUE
195,167,3/2/2024,East,Clothing,87.48,3,WELCOME10,262.44,TRUE
196,176,1/22/2024,North,Clothing,172,2,,344,TRUE
197,232,11/15/2024,East,Electronics,136.85,3,,410.55,TRUE
198,80,4/4/2024,North,Home,72.08,2,,144.16,TRUE
199,64,5/9/2024,East,Books,123.23,4,,492.92,TRUE
200,88,12/6/2024,East,Home,54.05,4,SPRING20,216.2,TRUE
201,299,8/22/2024,West,Books,32.65,1,WELCOME10,32.65,TRUE
202,203,7/7/2024,South,Electronics,105.47,3,,316.41,TRUE
203,195,7/23/2024,South,Electronics,44.86,3,,134.57999999999998,TRUE
204,217,1/23/2024,West,Home,16.54,4,,66.16,TRUE
205,227,5/22/2024,North,Home,118.95,1,,118.95,TRUE
206,159,6/23/2024,West,Clothing,100.28,1,,100.28,TRUE
207,146,8/24/2024,South,Clothing,52.23,3,,156.69,TRUE
208,189,4/14/2024,West,Electronics,9.69,2,WELCOME10,19.38,TRUE
209,207,10/15/2024,West,Electronics,208.72,4,,834.88,TRUE
210,146,7/27/2024,East,Electronics,94.3,4,,377.2,TRUE
211,168,7/17/2024,East,Clothing,24.19,1,,24.19,TRUE
212,164,11/6/2024,West,Electronics,59.79,3,,179.37,TRUE
213,157,6/1/2024,South,Home,5.28,4,,21.12,TRUE
214,151,8/5/2024,East,Home,169.38,2,,338.76,TRUE
215,295,6/12/2024,East,Electronics,100.54,1,,100.54,TRUE
216,170,2/27/2024,West,Clothing,11.13,4,,44.52,TRUE
217,206,6/8/2024,West,Clothing,99.09,2,,198.18,TRUE
218,154,9/7/2024,North,Books,328.8,4,,1315.2,TRUE
219,231,10/22/2024,West,Books,17.23,4,WELCOME10,68.92,TRUE
220,241,9/27/2024,North,Clothing,12.93,2,,25.86,TRUE
221,49,4/20/2024,South,Books,221.72,1,,221.72,TRUE
222,179,9/26/2024,North,Books,98.21,4,,392.84,FALSE
223,106,1/20/2024,South,Clothing,153.71,2,,307.42,FALSE
224,183,5/23/2024,South,Books,162.41,2,WELCOME10,324.82,FALSE
225,257,12/19/2024,South,Home,197.68,3,,593.04,TRUE
226,273,6/18/2024,West,Home,318.77,3,,956.31,TRUE
227,276,6/12/2024,South,Books,118.54,2,,237.08,FALSE
228,266,1/26/2024,West,Books,73.28,3,,219.84,TRUE
229,113,6/28/2024,South,Books,71.27,3,,213.81,TRUE
230,221,2/4/2024,North,Home,41.91,2,,83.82,TRUE
231,52,5/30/2024,South,Electronics,40.65,3,,121.95,TRUE
232,139,10/16/2024,South,Electronics,209.4,2,,418.8,TRUE
233,124,4/29/2024,South,Clothing,63.35,2,,126.7,TRUE
234,271,12/21/2024,North,Home,63.88,1,,63.88,TRUE
235,192,11/13/2024,West,Books,59.04,1,,59.04,TRUE
236,22,5/15/2024,East,Clothing,56.18,2,,112.36,TRUE
237,175,6/9/2024,West,Electronics,226.44,1,WELCOME10,226.44,TRUE
238,132,5/11/2024,West,Clothing,36.09,2,WELCOME10,72.18,TRUE
239,209,11/19/2024,North,Clothing,256.57,1,,256.57,TRUE
240,55,12/18/2024,West,Books,13.58,2,,27.16,TRUE
241,72,6/23/2024,North,Electronics,195.4,2,,390.8,TRUE
242,15,8/5/2024,North,Electronics,14.69,3,WELCOME10,44.07,TRUE
243,206,4/2/2024,East,Books,6.31,2,,12.62,TRUE
244,144,9/12/2024,North,Books,70.06,2,,140.12,TRUE
245,213,4/9/2024,East,Books,131.91,3,,395.73,TRUE
246,115,12/22/2024,South,Clothing,32.85,4,,131.4,TRUE
247,239,12/6/2024,North,Books,17.24,1,,17.24,TRUE
248,45,2/28/2024,East,Home,38.86,4,,155.44,TRUE
249,38,3/5/2024,North,Home,319.6,4,,1278.4,FALSE
250,151,2/10/2024,West,Books,84.83,3,,254.49,TRUE
251,13,11/30/2024,East,Electronics,28.75,2,,57.5,TRUE
252,216,3/19/2024,North,Electronics,147.76,2,,295.52,TRUE
253,126,12/26/2024,East,Home,209.03,1,WELCOME10,209.03,TRUE
254,44,3/3/2024,West,Clothing,41.14,2,,82.28,TRUE
255,295,10/30/2024,South,Clothing,39.64,1,WELCOME10,39.64,TRUE
256,92,10/10/2024,West,Electronics,92.03,4,,368.12,TRUE
257,113,6/19/2024,East,Books,130.48,2,,260.96,TRUE
258,254,1/15/2024,South,Home,33.53,2,,67.06,TRUE
259,227,12/15/2024,South,Home,26.83,4,,107.32,TRUE
260,172,9/23/2024,West,Home,122.68,2,,245.36,TRUE
261,185,6/12/2024,South,Home,16.38,1,,16.38,TRUE
262,74,8/9/2024,North,Clothing,24.73,4,WELCOME10,98.92,TRUE
263,90,12/1/2024,East,Home,55.27,4,SPRING20,221.08,TRUE
264,28,8/5/2024,West,Home,59.16,2,WELCOME10,118.32,TRUE
265,44,1/6/2024,West,Clothing,126.7,1,,126.7,TRUE
266,2,8/21/2024,East,Clothing,52.74,1,,52.74,TRUE
267,128,4/10/2024,South,Books,20.15,4,,80.6,TRUE
268,95,8/2/2024,North,Home,57.51,3,,172.53,TRUE
269,31,6/6/2024,South,Electronics,18.16,4,WELCOME10,72.64,TRUE
270,65,11/24/2024,South,Electronics,18.22,2,WELCOME10,36.44,TRUE
271,151,1/30/2024,East,Books,46.05,1,,46.05,TRUE
272,99,2/8/2024,West,Clothing,22.57,4,,90.28,TRUE
273,132,12/24/2024,North,Electronics,69.54,1,,69.54,TRUE
274,71,3/19/2024,North,Books,24.33,1,,24.33,TRUE
275,141,11/6/2024,East,Clothing,45.84,3,,137.52,TRUE
276,296,10/25/2024,West,Electronics,43.05,1,,43.05,TRUE
277,231,8/16/2024,West,Electronics,20.17,4,WELCOME10,80.68,TRUE
278,84,11/16/2024,East,Home,51.44,1,,51.44,FALSE
279,240,3/9/2024,South,Books,77.3,4,,309.2,TRUE
280,177,2/14/2024,East,Electronics,40.24,1,,40.24,TRUE
281,270,4/11/2024,South,Books,97.45,2,WELCOME10,194.9,TRUE
282,165,12/6/2024,West,Books,187.3,4,,749.2,TRUE
283,280,3/14/2024,North,Home,71.05,4,,284.2,TRUE
284,123,3/21/2024,East,Electronics,78,2,,156,TRUE
285,250,2/5/2024,South,Books,101.64,3,,304.92,FALSE
286,54,8/18/2024,South,Home,215.74,2,,431.48,TRUE
287,170,5/23/2024,East,Clothing,7.35,3,,22.05,TRUE
288,247,2/9/2024,North,Clothing,66.45,2,,132.9,TRUE
289,222,5/10/2024,North,Clothing,5.49,2,,10.98,TRUE
290,245,4/23/2024,West,Books,23.51,1,,23.51,TRUE
291,205,12/19/2024,North,Home,112.84,1,SPRING20,112.84,TRUE
292,106,12/1/2024,South,Electronics,229.75,4,WELCOME10,919,TRUE
293,37,1/16/2024,West,Electronics,10.33,1,,10.33,TRUE
294,113,5/23/2024,North,Books,44.2,1,,44.2,FALSE
295,145,3/7/2024,North,Home,123.72,1,,123.72,TRUE
296,159,5/1/2024,North,Books,451.22,2,,902.44,TRUE
297,116,10/1/2024,East,Books,51.4,2,,102.8,TRUE
298,107,8/18/2024,North,Electronics,113.4,1,,113.4,TRUE
299,213,11/26/2024,West,Clothing,42.57,1,,42.57,TRUE
300,292,5/26/2024,North,Clothing,36.98,1,,36.98,TRUE
301,259,6/2/2024,North,Clothing,19.42,4,,77.68,TRUE
302,214,11/1/2024,West,Home,35.62,2,,71.24,TRUE
303,94,10/20/2024,South,Books,36.43,2,,72.86,TRUE
304,165,1/21/2024,West,Home,42.06,2,,84.12,TRUE
305,110,10/23/2024,South,Clothing,211.46,1,,211.46,TRUE
306,284,11/4/2024,East,Clothing,195.06,2,WELCOME10,390.12,TRUE
307,29,8/26/2024,East,Clothing,53.6,1,WELCOME10,53.6,TRUE
308,131,1/19/2024,West,Books,29.74,3,WELCOME10,89.22,FALSE
309,228,12/1/2024,North,Home,108.76,2,,217.52,TRUE
310,293,6/28/2024,North,Electronics,21.44,4,,85.76,TRUE
311,229,10/20/2024,North,Books,64.07,1,WELCOME10,64.07,TRUE
312,169,1/31/2024,North,Clothing,33.9,2,,67.8,TRUE
313,19,10/23/2024,North,Clothing,5.38,2,,10.76,TRUE
314,226,7/20/2024,East,Electronics,100,4,SPRING20,400,TRUE
315,47,11/20/2024,North,Clothing,26.17,2,,52.34,TRUE
316,218,9/11/2024,South,Electronics,20.67,2,,41.34,TRUE
317,113,12/2/2024,North,Clothing,33.52,1,,33.52,TRUE
318,3,11/15/2024,West,Clothing,153.53,2,WELCOME10,307.06,TRUE
319,99,4/25/2024,South,Books,53.51,4,,214.04,TRUE
320,285,8/7/2024,West,Electronics,46.98,1,,46.98,TRUE
321,207,10/3/2024,East,Home,15.71,1,,15.71,TRUE
322,204,12/27/2024,South,Clothing,27.5,3,,82.5,TRUE
323,171,9/19/2024,South,Electronics,40.35,3,,121.05,TRUE
324,283,1/25/2024,North,Electronics,175.4,4,SPRING20,701.6,TRUE
325,233,1/1/2024,South,Clothing,441.2,3,,1323.6,TRUE
326,59,6/25/2024,East,Clothing,9.83,3,WELCOME10,29.49,TRUE
327,38,9/2/2024,North,Electronics,16.19,2,,32.38,TRUE
328,238,1/22/2024,West,Clothing,244.27,3,,732.8100000000001,TRUE
329,235,1/1/2024,North,Home,51.39,4,,205.56,FALSE
330,268,3/17/2024,South,Books,141.52,4,,566.08,TRUE
331,7,12/3/2024,South,Books,249.44,3,,748.3199999999999,TRUE
332,97,3/24/2024,East,Electronics,111.77,4,WELCOME10,447.08,TRUE
333,143,10/13/2024,East,Home,78.75,4,,315,TRUE
334,101,12/9/2024,East,Books,142.82,3,,428.46,TRUE
335,204,10/16/2024,East,Clothing,7.83,4,,31.32,TRUE
336,192,7/29/2024,East,Electronics,154.4,4,SPRING20,617.6,TRUE
337,33,1/23/2024,West,Books,84.22,4,WELCOME10,336.88,TRUE
338,111,5/11/2024,West,Home,31.61,3,,94.83,TRUE
339,178,2/4/2024,North,Books,26.7,4,,106.8,TRUE
340,129,2/19/2024,South,Home,144.64,1,,144.64,TRUE
341,151,3/29/2024,North,Clothing,8.48,1,SPRING20,8.48,TRUE
342,98,7/17/2024,East,Books,333.76,3,,1001.28,TRUE
343,165,6/14/2024,South,Clothing,42.74,2,WELCOME10,85.48,TRUE
344,284,5/20/2024,East,Clothing,194,2,,388,TRUE
345,157,10/20/2024,East,Electronics,78.75,3,,236.25,TRUE
346,53,12/1/2024,North,Clothing,199.62,2,,399.24,TRUE
347,103,1/7/2024,South,Home,19.37,1,,19.37,TRUE
348,223,4/2/2024,South,Electronics,93.07,1,,93.07,FALSE
349,8,9/16/2024,South,Home,73.7,4,,294.8,TRUE
350,273,9/9/2024,South,Electronics,20.39,1,SPRING20,20.39,TRUE
351,232,10/15/2024,North,Home,8.85,3,WELCOME10,26.55,TRUE
352,158,12/7/2024,West,Electronics,57.12,4,WELCOME10,228.48,TRUE
353,271,6/21/2024,South,Home,149.34,2,,298.68,TRUE
354,31,6/6/2024,South,Home,14.16,1,WELCOME10,14.16,TRUE
355,137,10/29/2024,North,Home,21.52,1,,21.52,TRUE
356,169,11/18/2024,West,Home,343.9,1,WELCOME10,343.9,TRUE
357,159,1/29/2024,East,Clothing,74.97,3,WELCOME10,224.91,TRUE
358,221,3/25/2024,West,Electronics,9.1,2,,18.2,TRUE
359,193,10/26/2024,South,Books,248.9,1,WELCOME10,248.9,TRUE
360,232,8/10/2024,East,Home,9.28,2,,18.56,TRUE
361,141,4/3/2024,West,Books,112.84,2,WELCOME10,225.68,TRUE
362,146,10/3/2024,West,Electronics,476.43,4,,1905.72,TRUE
363,251,6/8/2024,South,Home,38.44,1,,38.44,TRUE
364,11,10/8/2024,East,Clothing,270.05,4,,1080.2,TRUE
365,29,8/21/2024,South,Clothing,36.04,4,,144.16,TRUE
366,134,11/15/2024,South,Books,154.56,4,SPRING20,618.24,TRUE
367,43,2/29/2024,South,Home,34.79,2,WELCOME10,69.58,TRUE
368,87,8/26/2024,South,Clothing,62.12,1,,62.12,TRUE
369,79,9/5/2024,North,Books,40.44,2,WELCOME10,80.88,TRUE
370,210,1/18/2024,East,Books,243.01,4,WELCOME10,972.04,TRUE
371,201,5/30/2024,East,Electronics,14.88,1,,14.88,TRUE
372,276,9/26/2024,South,Clothing,17.7,3,,53.1,TRUE
373,154,1/31/2024,East,Books,94.51,3,,283.53000000000003,TRUE
374,273,11/2/2024,North,Home,30.62,4,,122.48,TRUE
375,261,12/22/2024,West,Electronics,108.64,3,,325.92,TRUE
376,156,5/29/2024,West,Clothing,14.43,1,,14.43,TRUE
377,132,3/12/2024,West,Clothing,185.65,1,SPRING20,185.65,TRUE
378,187,1/4/2024,East,Clothing,106.62,3,,319.86,TRUE
379,13,5/31/2024,East,Home,9.71,4,,38.84,TRUE
380,131,9/25/2024,North,Books,12.88,3,SPRING20,38.64,FALSE
381,159,7/24/2024,North,Electronics,13.6,2,SPRING20,27.2,TRUE
382,134,9/3/2024,West,Home,66.39,4,SPRING20,265.56,TRUE
383,145,1/8/2024,East,Clothing,129.62,3,SPRING20,388.86,TRUE
384,97,11/4/2024,South,Books,22.03,2,,44.06,TRUE
385,237,1/31/2024,West,Electronics,37.25,4,,149,TRUE
386,288,9/21/2024,South,Electronics,135.43,1,WELCOME10,135.43,TRUE
387,236,4/13/2024,North,Home,113.46,3,SPRING20,340.38,TRUE
388,100,12/18/2024,North,Clothing,46.12,3,WELCOME10,138.36,TRUE
389,281,3/25/2024,West,Home,120.84,3,SPRING20,362.52,TRUE
390,22,3/14/2024,North,Clothing,150.41,4,,601.64,TRUE
391,34,6/16/2024,North,Books,37.55,4,,150.2,TRUE
392,5,11/8/2024,East,Books,13.3,4,,53.2,TRUE
393,40,7/7/2024,South,Home,21.41,3,,64.23,TRUE
394,125,4/28/2024,West,Clothing,29.81,1,,29.81,TRUE
395,68,10/8/2024,East,Electronics,35.87,4,,143.48,TRUE
396,163,3/6/2024,North,Books,17.9,4,,71.6,TRUE
397,163,4/26/2024,North,Books,8.57,3,,25.71,TRUE
398,43,4/17/2024,North,Home,141.4,1,,141.4,TRUE
399,211,4/13/2024,West,Books,119.3,2,,238.6,TRUE
400,39,5/26/2024,South,Home,89.3,2,,178.6,TRUE
401,177,12/8/2024,East,Electronics,11.62,3,SPRING20,34.86,TRUE
402,123,5/9/2024,West,Home,29.42,2,,58.84,TRUE
